"VeerNXT — Indian Armed Forces: Tri-Service Branch, Trade Count & Complete Trade Names",,,,
Indian Army (25 Arms/Corps)  |  Indian Navy (10 Branches)  |  Indian Air Force (12 Branches)  |  All trade names listed in full,,,,
,,,,
S.No,Branch / Arm / Corps,Service,"No. of
Trades",All Trade Names
  ◆  INDIAN ARMY,,,,
      — COMBAT ARMS —,,,,
1,INFANTRY,Indian Army,14,"1. Rifleman (Rifle/LMG)
2. MMG / HMG Gunner
3. Grenadier / UGL Operator
4. ATGM Operator
5. Rocket Launcher Operator
6. Sniper
7. Signaller (Infantry)
8. Pioneer (Infantry)
9. Stretcher Bearer / Combat Medic
10. Mortar Operator
11. MANPADS Operator
12. Recce Trooper
13. Dog Handler (Infantry)
14. Parachutist"
2,MECHANISED INFANTRY,Indian Army,10,"1. IFV Commander
2. IFV Gunner
3. IFV Driver
4. IFV Radio Operator / Loader
5. Rifleman (Mech Inf)
6. LMG Gunner (Mech Inf)
7. ATGM Operator (Mech Inf)
8. Signaller (Mech Inf)
9. Sniper (Mech Inf)
10. Combat Medic (Mech)"
3,ARMOURED CORPS,Indian Army,11,"1. Tank Commander
2. Tank Gunner
3. Tank Driver
4. Tank Loader
5. Tank Radio Operator
6. Reconnaissance Trooper
7. Signals Operator (Armoured)
8. NBC Operator
9. Recovery Operator
10. 61st Cavalry Trooper
11. Farrier (61st Cavalry)"
4,ARTILLERY,Indian Army,11,"1. Gunner (Field Artillery)
2. Gunner (Self-Propelled)
3. Rocket Launcher Operator (MBRL)
4. Survey Instrument Mechanic (SIM)
5. Sound Ranger
6. Radar Operator (Met)
7. Fire Control Computer Operator
8. Signaller (Artillery)
9. FOO Signaller
10. Ammunition Handler
11. Driver (Artillery)"
5,AIR DEFENCE ARTILLERY,Indian Army,10,"1. Missile Operator (Akash SAM)
2. Missile Operator (Spyder)
3. MANPADS Operator (Igla-S)
4. Gun Operator (L70 Bofors AD)
5. Gun Operator (ZU-23-2)
6. Radar Operator (AD)
7. AD Control and Reporting Operator
8. IFF Operator
9. Missile Technician
10. Electronics Mechanic (AD)"
6,ARMY AVIATION CORPS,Indian Army,10,"1. Aviation Mechanic (Engine)
2. Aviation Mechanic (Airframe)
3. Avionics Technician
4. ATC Operator (Army Aviation)
5. Ground Crew / Marshaller
6. Air Despatch Rigger
7. Parachute Packer
8. Armament Mechanic (Aviation)
9. Flight Line Mechanic
10. Crash Rescue Crew"
7,SPECIAL FORCES,Indian Army,11,"1. Special Forces Operator (Para SF)
2. Combat Diver
3. HAHO / HALO Parachutist
4. Sniper (SF)
5. EOD Operator
6. Communications Operator (SF)
7. Combat Medic (SF)
8. Mountain Specialist
9. Jungle Warfare Specialist
10. CQB Instructor
11. Dog Handler (SF)"
8,CORPS OF ENGINEERS,Indian Army,13,"1. Combat Engineer
2. Construction Engineer
3. Bridge Builder / Pontoon Operator
4. IED Disposal / EOD Operator
5. Mine Clearance Operator
6. Survey Instrument Mechanic
7. Draughtsman
8. Water Purification Operator
9. Diver (Military)
10. NBC / CBRN Operator
11. Electrician (Engineers)
12. Carpenter
13. Air Field Construction Specialist"
9,CORPS OF SIGNALS,Indian Army,11,"1. Radio Operator (Signaller)
2. Lineman (Field Telephone)
3. Cable Layer (OFC)
4. Cipher Operator
5. IT Operator / Network Admin
6. SATCOM Operator
7. Electronic Warfare Operator
8. Telecom Mechanic
9. Microwave Communication Operator
10. Troposcatter Operator
11. Cyber Operator"
      — COMBAT SUPPORT AND COMBAT SERVICE SUPPORT ARMS —,,,,
10,ARMY SERVICE CORPS (ASC),Indian Army,11,"1. Driver MT (HMV)
2. Driver MT (LMV)
3. Driver MT (MHE)
4. Supply Assistant
5. POL Operator
6. Air Despatch Porter
7. Baker
8. Cook
9. Butcher
10. Water Tanker Operator
11. Stores Keeper (ASC)"
